text,processed_text,created,screenName,id
"With domestic output exceeding regional demand, US #crudeoil producers are increasingly looking toward the export m… https://t.co/SmdzwV4I8n",domestic output exceeding regional demand u crudeoil producer increasingly looking toward export,2019-07-05T12:52:01Z,ArgusMedia,1147125982907813888
"For Friday, here is US Crude Oil front 12 months futures prices with the VWAP's as we go into the US RTH Session:… https://t.co/NiZ4hTb0mm",friday u crude oil front month future price vwaps go u rth session,2019-07-05T12:50:03Z,macrohedged,1147125489103974400
"RT @aeberman12: OPEC ""pumped 29.6 mmbpd last month, down 170 kb/d from May’s revised figure &amp; lowest OPEC total since 2014.""--Reuters Surve…",rt aeberman opec pumped mmbpd last month kbd may revised figure amp lowest opec total since reuters surve,2019-07-05T12:39:58Z,El_Spy,1147122950753181697
"RT @aeberman12: ""Ships vanishing from tracking screens, clandestine transfers on high seas &amp; fake destinations...have helped Iran continue…",rt aeberman ship vanishing tracking screen clandestine transfer high sea amp fake destinationshave helped iran continue,2019-07-05T12:38:45Z,SuperiorMar,1147122646003437568
"OPEC ""pumped 29.6 mmbpd last month, down 170 kb/d from May’s revised figure &amp; lowest OPEC total since 2014.""--Reute… https://t.co/TRMeCkXj3w",opec pumped mmbpd last month kbd may revised figure amp lowest opec total since reute,2019-07-05T12:38:36Z,aeberman12,1147122604551155712
"RT @aeberman12: “If the state of the economy does not improve, demand alone is not likely to be able to slice potentially growing inventori…",rt aeberman state economy improve demand alone likely able slice potentially growing inventori,2019-07-05T12:31:27Z,4ever_covfefe,1147120806339629056
"“The army isn’t a trader. It doesn’t sell oil, legally or illegally. Sale of oil is an exclusive” jurisdiction of t… https://t.co/iioagLXDx2",army isnt trader doesnt sell oil legally illegally sale oil exclusive jurisdiction,2019-07-05T12:29:43Z,aeberman12,1147120369960198145
"#MCX #commodity report for #evening session

#gold #silver #copper #CRUDEOIL #OOTT https://t.co/zhe1RULtWU",mcx commodity report evening session gold silver copper crudeoil oott,2019-07-05T12:26:33Z,tradeswift,1147119571746164739
"""Ships vanishing from tracking screens, clandestine transfers on high seas &amp; fake destinations...have helped Iran c… https://t.co/XaCqgqxc7E",ship vanishing tracking screen clandestine transfer high sea amp fake destinationshave helped iran c,2019-07-05T12:25:32Z,aeberman12,1147119316703285249
"“If the state of the economy does not improve, demand alone is not likely to be able to slice potentially growing i… https://t.co/UNeDEgfKs7",state economy improve demand alone likely able slice potentially growing,2019-07-05T12:22:30Z,aeberman12,1147118556137578496
"RT @patrickrooney: Odds of #crude holding below $57 today? #crudeoil #oil #oott 

@Trading_Tech @TradersCom @EnergyRosen @EnergyInDepth @tr…",rt patrickrooney odds crude holding today crudeoil oil oott tradingtech traderscom energyrosen energyindepth tr,2019-07-05T12:12:39Z,oilbot123,1147116077404606464
RT @oilhighlights: #UAE is the top #crudeoil supplier to #Japan in May 2019 while #SaudiArabia came as a second supplier for the first time…,rt oilhighlights uae top crudeoil supplier japan may saudiarabia came second supplier first time,2019-07-05T12:12:33Z,oilbot123,1147116050191921152
"Odds of #crude holding below $57 today? #crudeoil #oil #oott 

@Trading_Tech @TradersCom @EnergyRosen… https://t.co/OJoRieF3vT",odds crude holding today crudeoil oil oott tradingtech traderscom energyrosen,2019-07-05T12:10:16Z,patrickrooney,1147115475945558016
#UAE is the top #crudeoil supplier to #Japan in May 2019 while #SaudiArabia came as a second supplier for the first… https://t.co/3ELWxNjkrX,uae top crudeoil supplier japan may saudiarabia came second supplier first,2019-07-05T12:05:47Z,oilhighlights,1147114348172783621
